id,name,email,phone,numbers,subject,contact_person,designation,user_id,pipeline_id,stage_id,sources,products,dummy,detail,country,labels,order,status,created_by,is_active,is_converted,date,created_at,updated_at,notes
2144,Creatives (SMC-Private) Limited,info@creatives-biz.com,3314966767,NULL,Creatives (SMC-Private) Limited,NULL,https://creatives-biz.com/,6,8,61,2,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 11:56,NULL
2145,1 Link Real Estate,not@gmail.com,3332324251,NULL,1 Link Real Estate,NULL,No Website,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 12:01,NULL
2146,1 Link Solution,sales@1linksolution.com,3215262942,NULL,1 Link Solution,NULL,https://1linksolution.com/,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 12:01,NULL
2147,2 Star Mobile Accessories,not@gmail.com,3335198825,NULL,2 Star Mobile Accessories,NULL,No Website,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 12:05,NULL
2148,247 Virtual Solution LLP,info@247virtualsolution.com,7342526029,NULL,247 Virtual Solution LLP,NULL,https://www.247virtualsolution.com/,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 12:09,NULL
2149,3 M Surgicals,3amanpower@gmail.com,515120492,NULL,3 M Surgicals,NULL,"https://www.3m.com.pk, http://3msurgicals.com",6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 12:10,NULL
2150,3 Star Agency,info@3staragency.com,3204803102,NULL,3 Star Agency,NULL,https://3staragency.com/,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 12:12,NULL
2151,3J Diagnostics,not@gmail.com,3120202400,NULL,3J Diagnostics,NULL,No Website,6,8,62,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/22/2025 11:06,NULL
2152,3MS Associates,saadbinriaz@hotmail.com,3335221137,NULL,3MS Associates,NULL,https://www.3msassociates.com/,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 12:47,NULL
2153,3MS PAINTS,not@gmail.com,3215221137,NULL,3MS PAINTS,NULL,http://www.3mspaints.com/,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 12:48,NULL
2154,4 Star Crockery Store,not@gmail.com,3005058261,NULL,4 Star Crockery Store,NULL,No Website,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 12:52,NULL
2155,Denizs Marketing,osama422011@gmail.com,3339507699,NULL,Denizs Marketing,NULL,No Website,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 12:53,NULL
2156,8&1 Enterprise,info@8and1enterprise.com,515172210,NULL,8&1 Enterprise,NULL,https://www.8and1enterprise.com/,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 12:55,NULL
2157,A & A Medical Suppliers,medicalsupplies077@gmail.com,3209494451,NULL,A & A Medical Suppliers,NULL,NULL,6,8,63,4,22,,NULL,NULL,NULL,2,0,2,1,0,4/21/2025,4/21/2025 11:44,4/22/2025 11:46,NULL
2158,A&A Properties,not@gmail.com,3000777573,NULL,A&A Properties,NULL,No Website,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 14:28,NULL
2159,A & T Traders,zakira298@gmail.com,0317 2865340,NULL,A & T Traders,NULL,No Website,114,8,63,NULL,NULL,,NULL,NULL,NULL,4,0,2,1,0,4/21/2025,4/21/2025 11:44,4/22/2025 11:46,NULL
2160,Awan Trading Company,not@gmail.com,3008066098,NULL,Awan Trading Company,NULL,No Website,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 14:33,NULL
2161,A 2 Z Services,not@gmail.com,3455420061,NULL,A 2 Z Services,NULL,No Website,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 14:34,NULL
2162,A To Z Technologies,atoz@gmail.com,0300 5323419,NULL,A To Z Technologies,NULL,http://www.atoztechnologiespk.com/,6,8,63,"2,3",21,,NULL,NULL,NULL,6,0,2,1,0,4/21/2025,4/21/2025 11:44,4/28/2025 17:08,NULL
2163,A-ONE HUSNAIN AUTOS,not@gmail.com,3455885270,NULL,A-ONE HUSNAIN AUTOS,NULL,No Website,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 14:39,NULL
2164,A-One Punjab Fashion Centre,not@gmail.com,3408001287,NULL,A-One Punjab Fashion Centre,NULL,No Website,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 14:48,NULL
2165,A.A Arts,not@gmail.com,515537131,NULL,A.A Arts,NULL,No Website,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 14:51,NULL
2166,A.B Garments,not@gmail.com,3015200175,NULL,A.B Garments,515771104,No Website,6,8,61,4,22,,NULL,NULL,55,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 16:19,NULL
2167,A.B.Pharma,not@gmail.com,3335557596,NULL,A.B.Pharma,NULL,No Website,6,8,61,4,22,,NULL,NULL,56,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 15:20,NULL
2168,A.C.E.S,not@gmail.com,5149183867,NULL,A.C.E.S,NULL,No Website,6,8,63,4,22,,NULL,NULL,NULL,7,0,2,1,0,4/21/2025,4/21/2025 11:44,4/22/2025 11:46,NULL
2169,A.H. Plastic,not@gmail.com,515492126,NULL,A.H. Plastic,NULL,http://ah-plastic.com/,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 15:04,NULL
2170,A.K. Foods,not@gmail.com,3069407714,NULL,A.K. Foods,NULL,No Website,6,8,61,4,22,,NULL,NULL,NULL,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 15:04,NULL
2171,A.M Autos,not@gmail.com,3325249535,NULL,A.M Autos,NULL,No Website,6,8,61,4,22,,NULL,NULL,56,0,0,2,1,0,4/21/2025,4/21/2025 11:44,4/21/2025 15:20,NULL
